city;county;county_code;km;id_fan
Abrud                                  ;Alba           ;AB;0;10001
Abrud-Sat                              ;Alba           ;AB;0;21913
Achimetesti                            ;Alba           ;AB;28;21914
Acmariu                                ;Alba           ;AB;20;22214
Aiud                                   ;Alba           ;AB;0;10002
Aiudul de Sus                          ;Alba           ;AB;0;21915
Alba Iulia                             ;Alba           ;AB;0;1
Albac                                  ;Alba           ;AB;0;10003
Alecus                                 ;Alba           ;AB;55;26652
Almasu de Mijloc                       ;Alba           ;AB;60;21916
Almasu Mare                            ;Alba           ;AB;60;10004
Ampoita                                ;Alba           ;AB;0;10005
Anghelesti                             ;Alba           ;AB;21;27559
Arieseni                               ;Alba           ;AB;43;10006
Aronesti                               ;Alba           ;AB;0;27560
Arti                                   ;Alba           ;AB;35;27561
Asinip                                 ;Alba           ;AB;45;10007
Avram Iancu                            ;Alba           ;AB;31;10008
Avramesti (Arieseni)                   ;Alba           ;AB;43;21917
Avramesti (Avram Iancu)                ;Alba           ;AB;29;21918
Baba                                   ;Alba           ;AB;26;27562
Bacainti                               ;Alba           ;AB;70;22215
Badai                                  ;Alba           ;AB;43;21919
Bagau                                  ;Alba           ;AB;45;10009
Bai                                    ;Alba           ;AB;21;27563
Baia de Aries                          ;Alba           ;AB;25;10010
Balcaciu                               ;Alba           ;AB;30;26653
Balesti                                ;Alba           ;AB;0;21920
Balesti-Catun                          ;Alba           ;AB;0;21921
Balmosesti                             ;Alba           ;AB;0;27564
Balomiru de Camp;Alba           ;AB;20;18493
Barabant                               ;Alba           ;AB;0;21922
Barasti                                ;Alba           ;AB;24;21923
Barbesti                               ;Alba           ;AB;49;27565
Bardesti                               ;Alba           ;AB;25;27566
Barlesti (Bistra)                      ;Alba           ;AB;0;21924
Barlesti (Mogos)                       ;Alba           ;AB;41;21925
Barlesti (Scarisoara)                  ;Alba           ;AB;38;21926
Barlesti-Catun                         ;Alba           ;AB;51;27567
Barsana                                ;Alba           ;AB;34;27568
Barzan                                 ;Alba           ;AB;21;27569
Barzogani                              ;Alba           ;AB;54;21927
Bazesti                                ;Alba           ;AB;0;27570
Beldiu                                 ;Alba           ;AB;0;10011
Benic                                  ;Alba           ;AB;30;10012
Berghin                                ;Alba           ;AB;0;10013
Beta                                   ;Alba           ;AB;50;10014
Bidigesti                              ;Alba           ;AB;0;27571
Biharia                                ;Alba           ;AB;39;21928
Biia                                   ;Alba           ;AB;35;26654
Bilanesti                              ;Alba           ;AB;0;21929
Bisericani                             ;Alba           ;AB;27;27572
Bistra                                 ;Alba           ;AB;0;10015
Blaj                                   ;Alba           ;AB;0;10016
Blandiana                              ;Alba           ;AB;20;18494
Blidesti                               ;Alba           ;AB;0;21930
Bobaresti (Sohodol)                    ;Alba           ;AB;0;21931
Bobaresti (Vidra)                      ;Alba           ;AB;0;21932
Bocesti                                ;Alba           ;AB;50;27573
Bocsitura                              ;Alba           ;AB;44;27574
Bodesti                                ;Alba           ;AB;0;10017
Bodresti                               ;Alba           ;AB;56;27575
Bogdanesti (Mogos)                     ;Alba           ;AB;51;21933
Bogdanesti (Vidra)                     ;Alba           ;AB;51;21934
Boglesti                               ;Alba           ;AB;0;27576
Boldesti                               ;Alba           ;AB;23;27577
Bolovanesti                            ;Alba           ;AB;37;27578
Boncesti                               ;Alba           ;AB;0;10019
Bordestii Poieni                       ;Alba           ;AB;0;27579
Borlesti                               ;Alba           ;AB;0;27580
Botani                                 ;Alba           ;AB;44;27581
Botesti (Campeni)                      ;Alba           ;AB;0;21935
Botesti (Scarisoara)                   ;Alba           ;AB;29;21936
Botesti (Zlatna)                       ;Alba           ;AB;40;21937
Boz                                    ;Alba           ;AB;30;18495
Bradeana                               ;Alba           ;AB;0;10021
Bradesti                               ;Alba           ;AB;60;21938
Bradet                                 ;Alba           ;AB;54;27582
Brazesti                               ;Alba           ;AB;30;10022
Bubesti                                ;Alba           ;AB;46;19205
Bucerdea Granoasa                      ;Alba           ;AB;0;10023
Bucerdea Vinoasa                       ;Alba           ;AB;0;21939
Bucium                                 ;Alba           ;AB;27;10024
Bucium-Sat                             ;Alba           ;AB;21;21940
Bucuru                                 ;Alba           ;AB;42;27583
Budaiesti                              ;Alba           ;AB;23;21941
Budeni                                 ;Alba           ;AB;40;21942
Bulbuc                                 ;Alba           ;AB;42;27584
Buninginea                             ;Alba           ;AB;20;10026
Bunta                                  ;Alba           ;AB;66;27585
Burzesti                               ;Alba           ;AB;0;21943
Burzonesti                             ;Alba           ;AB;0;10027
Butesti (Horea)                        ;Alba           ;AB;29;21944
Butesti (Mogos)                        ;Alba           ;AB;40;21945
Calene                                 ;Alba           ;AB;40;27586
Calnic                                 ;Alba           ;AB;0;18496
Calugaresti                            ;Alba           ;AB;30;21946
Campeni                                ;Alba           ;AB;0;285
Campu Goblii                           ;Alba           ;AB;13;27587
Candesti                               ;Alba           ;AB;41;21947
CAPALNA                                ;Alba           ;AB;20;18497
Capalna de Jos                         ;Alba           ;AB;30;22216
Captalan                               ;Alba           ;AB;50;27095
Capu Dealului                          ;Alba           ;AB;64;27588
Capud                                  ;Alba           ;AB;55;10029
Carasti                                ;Alba           ;AB;25;21948
Carpen                                 ;Alba           ;AB;23;27589
Carpenii de Sus                        ;Alba           ;AB;23;27590
Carpinis (Garbova)                     ;Alba           ;AB;25;22217
Carpinis (Rosia Montana)               ;Alba           ;AB;0;21949
Cartulesti                             ;Alba           ;AB;29;27591
Casa de Piatra                         ;Alba           ;AB;46;27592
Casoaia                                ;Alba           ;AB;31;21950
Cenade                                 ;Alba           ;AB;70;10031
Cerbu                                  ;Alba           ;AB;20;21951
Cergau                                 ;Alba           ;AB;60;10032
Cergau Mare                            ;Alba           ;AB;60;21952
Cergau Mic                             ;Alba           ;AB;60;21953
Certege                                ;Alba           ;AB;0;10033
Ceru-Bacainti                          ;Alba           ;AB;22;22218
Cetatea de Balta                       ;Alba           ;AB;30;26602
Cetea                                  ;Alba           ;AB;30;10034
Cheia                                  ;Alba           ;AB;47;27593
Cheile Cibului                         ;Alba           ;AB;60;21954
Cheleteni                              ;Alba           ;AB;0;27594
Cib                                    ;Alba           ;AB;60;10035
Cicard                                 ;Alba           ;AB;52;27595
Cicau                                  ;Alba           ;AB;40;10036
Cioara de Sus                          ;Alba           ;AB;27;10038
Ciocasu                                ;Alba           ;AB;17;27596
Cionesti                               ;Alba           ;AB;0;27597
Cistei                                 ;Alba           ;AB;0;10039
Cisteiu de Mures                       ;Alba           ;AB;40;22184
Ciuculesti                             ;Alba           ;AB;28;27598
Ciugud                                 ;Alba           ;AB;0;10040
Ciugudu de Jos                         ;Alba           ;AB;60;22185
Ciugudu de Sus                         ;Alba           ;AB;60;22186
Ciuguzel                               ;Alba           ;AB;55;10041
Ciuldesti                              ;Alba           ;AB;0;10042
Ciumbrud                               ;Alba           ;AB;0;10043
Ciuruleasa                             ;Alba           ;AB;0;10044
Coasta Hentii                          ;Alba           ;AB;0;21955
Coasta Vascului                        ;Alba           ;AB;21;27599
Cobles                                 ;Alba           ;AB;45;27600
Cocesti                                ;Alba           ;AB;27;21956
Cocosesti                              ;Alba           ;AB;26;21957
Cojocani                               ;Alba           ;AB;49;21958
Coleseni                               ;Alba           ;AB;22;10045
Colibi                                 ;Alba           ;AB;31;27601
Coltesti                               ;Alba           ;AB;62;10046
Copand                                 ;Alba           ;AB;0;26662
Corna                                  ;Alba           ;AB;20;10047
Cornu                                  ;Alba           ;AB;39;27602
Coroiesti                              ;Alba           ;AB;24;10048
Cortesti                               ;Alba           ;AB;67;27603
Coslariu                               ;Alba           ;AB;0;10049
Coslariu Nou                           ;Alba           ;AB;0;21959
Costesti (Albac)                       ;Alba           ;AB;36;21960
Costesti (Poiana Vadului)              ;Alba           ;AB;38;21961
Cotorasti                              ;Alba           ;AB;52;27604
Craciunelu de Jos                      ;Alba           ;AB;0;21962
Craciunelu de Sus                      ;Alba           ;AB;26;27605
Craiva                                 ;Alba           ;AB;30;10051
Cretesti                               ;Alba           ;AB;0;10052
Cricau                                 ;Alba           ;AB;0;10053
Criseni                                ;Alba           ;AB;0;27606
Cristesti                              ;Alba           ;AB;43;27607
Cucuta                                 ;Alba           ;AB;35;27608
Cugir                                  ;Alba           ;AB;0;18499
Culdesti                               ;Alba           ;AB;0;21963
Cunta                                  ;Alba           ;AB;20;18500
Curaturi                               ;Alba           ;AB;0;21964
Curmatura                              ;Alba           ;AB;23;26395
Curpeni                                ;Alba           ;AB;36;27609
Cut                                    ;Alba           ;AB;0;18501
Daia Romana                            ;Alba           ;AB;15;18502
Dambureni                              ;Alba           ;AB;0;21965
Dandut                                 ;Alba           ;AB;0;27610
Darlesti                               ;Alba           ;AB;32;27611
Daroaia                                ;Alba           ;AB;0;10054
Deal                                   ;Alba           ;AB;23;18503
Dealu Bajului                          ;Alba           ;AB;40;21966
Dealu Bistrii                          ;Alba           ;AB;0;21967
Dealu Capsei                           ;Alba           ;AB;0;27612
Dealu Caselor                          ;Alba           ;AB;80;21968
Dealu Crisului                         ;Alba           ;AB;26;27613
Dealu Dostatului                       ;Alba           ;AB;28;27614
Dealu Ferului                          ;Alba           ;AB;14;27615
Dealu Frumos (Garda de Sus)            ;Alba           ;AB;51;21969
Dealu Frumos (Vadu Motilor)            ;Alba           ;AB;0;21970
Dealu Geoagiului                       ;Alba           ;AB;40;21971
Dealu Goiesti                          ;Alba           ;AB;0;21972
Dealu Lamasoi                          ;Alba           ;AB;27;27616
Dealu Muntelui                         ;Alba           ;AB;0;26396
Dealu Ordancusii                       ;Alba           ;AB;45;26805
Dealu Roatei                           ;Alba           ;AB;40;21973
Decea                                  ;Alba           ;AB;45;10055
Deleni-Obarsie                         ;Alba           ;AB;48;27617
Deoncesti                              ;Alba           ;AB;0;21974
Deve                                   ;Alba           ;AB;22;21975
Dilimani                               ;Alba           ;AB;0;21976
Dobra                                  ;Alba           ;AB;35;18504
Dobresti                               ;Alba           ;AB;34;27618
Dobrot                                 ;Alba           ;AB;52;27619
Dogaresti                              ;Alba           ;AB;21;21977
Dolesti                                ;Alba           ;AB;23;21978
Doptau                                 ;Alba           ;AB;40;26667
Dos                                    ;Alba           ;AB;0;21979
Dostat                                 ;Alba           ;AB;35;22219
Dosu Luncii                            ;Alba           ;AB;21;21980
Dosu Vasesti                           ;Alba           ;AB;0;21981
Dragoiesti-Lunca                       ;Alba           ;AB;0;21982
Drambar                                ;Alba           ;AB;0;10056
Drasov                                 ;Alba           ;AB;23;18506
Dric                                   ;Alba           ;AB;0;27620
Duduieni                               ;Alba           ;AB;25;21983
Dumacesti                              ;Alba           ;AB;30;21984
Dumbrava (Sasciori)                    ;Alba           ;AB;15;22220
Dumbrava (Unirea)                      ;Alba           ;AB;25;22187
Dumbrava (Zlatna)                      ;Alba           ;AB;40;21985
Dumbravita                             ;Alba           ;AB;37;27621
Dumesti                                ;Alba           ;AB;62;27622
Dumitra                                ;Alba           ;AB;0;21986
Dupa Deal (Lupsa)                      ;Alba           ;AB;0;21987
Dupa Deal (Ponor)                      ;Alba           ;AB;74;27623
Dupa Plese                             ;Alba           ;AB;20;21988
Durasti                                ;Alba           ;AB;0;10057
Faget                                  ;Alba           ;AB;62;26973
Fagetu de Jos                          ;Alba           ;AB;20;21989
Fagetu de Sus                          ;Alba           ;AB;23;26430
Fantanele                              ;Alba           ;AB;40;27624
Farau                                  ;Alba           ;AB;45;10058
Fata                                   ;Alba           ;AB;22;21990
Fata Abrudului                         ;Alba           ;AB;0;10059
Fata Cristesei                         ;Alba           ;AB;42;21991
Fata Lapusului                         ;Alba           ;AB;41;21992
Fata Pietrii                           ;Alba           ;AB;37;27625
Fata-Lazesti                           ;Alba           ;AB;26;21993
Feisa                                  ;Alba           ;AB;30;26655
Fenes                                  ;Alba           ;AB;0;10060
Feresti                                ;Alba           ;AB;22;27626
Fericet                                ;Alba           ;AB;29;27627
Feteni                                 ;Alba           ;AB;39;27628
Ficaresti                              ;Alba           ;AB;0;21994
Flitesti                               ;Alba           ;AB;48;27629
Floresti (Bucium)                      ;Alba           ;AB;26;21995
Floresti (Campeni)                     ;Alba           ;AB;0;21996
Floresti (Ramet)                       ;Alba           ;AB;60;21997
Floresti (Scarisoara)                  ;Alba           ;AB;32;21998
Furduiesti (Campeni)                   ;Alba           ;AB;0;21999
Furduiesti (Sohodol)                   ;Alba           ;AB;0;22000
Gabud                                  ;Alba           ;AB;51;27630
Galati                                 ;Alba           ;AB;40;22001
Galbena                                ;Alba           ;AB;43;22002
Galda de Jos                           ;Alba           ;AB;0;10062
Galda de Sus                           ;Alba           ;AB;35;10063
Galtiu                                 ;Alba           ;AB;0;10064
Gambas;Alba           ;AB;40;10065
Ganesti                                ;Alba           ;AB;0;10066
Garbova                                ;Alba           ;AB;25;18507
Garbova de Jos                         ;Alba           ;AB;0;10067
Garbova de Sus                         ;Alba           ;AB;25;22221
Garbovita                              ;Alba           ;AB;35;10068
Garda de Sus                           ;Alba           ;AB;34;10069
Garda Seaca                            ;Alba           ;AB;37;22003
Garda-Barbulesti                       ;Alba           ;AB;0;22004
Garde                                  ;Alba           ;AB;0;10070
Geamana                                ;Alba           ;AB;22;22005
Geoagiu de Sus                         ;Alba           ;AB;35;10071
Geogel                                 ;Alba           ;AB;60;22006
Geomal                                 ;Alba           ;AB;30;10072
Ghedulesti                             ;Alba           ;AB;23;27631
Ghetari                                ;Alba           ;AB;50;22007
Ghioncani                              ;Alba           ;AB;55;22008
Ghirbom                                ;Alba           ;AB;0;10073
Giurgiut                               ;Alba           ;AB;28;27632
Gligoresti                             ;Alba           ;AB;23;27633
Glod                                   ;Alba           ;AB;52;27634
Glogovet                               ;Alba           ;AB;60;22009
Goasele                                ;Alba           ;AB;48;27635
Goiesti                                ;Alba           ;AB;0;22010
Gojeiesti                              ;Alba           ;AB;27;22011
Gorgan                                 ;Alba           ;AB;54;27636
Grosi                                  ;Alba           ;AB;39;27637
Gura Ariesului                         ;Alba           ;AB;40;22188
Gura Cornei                            ;Alba           ;AB;0;22012
Gura Cutului                           ;Alba           ;AB;18;27638
Gura Izbitei                           ;Alba           ;AB;25;27639
Gura Rosiei                            ;Alba           ;AB;0;22013
Gura Sohodol                           ;Alba           ;AB;0;22014
Hadarau                                ;Alba           ;AB;0;22015
Haiducesti                             ;Alba           ;AB;0;27640
Hanasesti (Garda de Sus)               ;Alba           ;AB;40;22016
Hanasesti (Poiana Vadului)             ;Alba           ;AB;23;22017
Hanes Mina                             ;Alba           ;AB;70;22018
Hapria                                 ;Alba           ;AB;0;10075
Harasti                                ;Alba           ;AB;23;27641
Hategana                               ;Alba           ;AB;16;27642
Heleresti                              ;Alba           ;AB;23;27643
Helesti                                ;Alba           ;AB;25;27644
Henig                                  ;Alba           ;AB;0;10076
Heria                                  ;Alba           ;AB;45;22189
Hoanca (Sohodol)                       ;Alba           ;AB;0;22019
Hoanca (Vidra)                         ;Alba           ;AB;0;22020
Hodisesti                              ;Alba           ;AB;0;10077
Hodobana                               ;Alba           ;AB;56;22021
Holobani                               ;Alba           ;AB;27;27645
Hoparta                                ;Alba           ;AB;55;10078
Horea                                  ;Alba           ;AB;26;10079
Hudricesti                             ;Alba           ;AB;0;22022
Huzaresti                              ;Alba           ;AB;33;10080
Iacobesti                              ;Alba           ;AB;0;22023
Ibru                                   ;Alba           ;AB;26;27646
Iclod                                  ;Alba           ;AB;60;10081
Ighiel                                 ;Alba           ;AB;0;10082
Ighiu                                  ;Alba           ;AB;0;10083
Ignatesti                              ;Alba           ;AB;0;22024
Iliesti                                ;Alba           ;AB;46;27647
Incesti (Avram Iancu)                  ;Alba           ;AB;20;22025
Incesti (Posaga)                       ;Alba           ;AB;0;26433
Inoc                                   ;Alba           ;AB;40;22190
Intregalde                             ;Alba           ;AB;55;22026
Inuri                                  ;Alba           ;AB;19;27648
Isca                                   ;Alba           ;AB;23;27649
Ivanis                                 ;Alba           ;AB;65;22027
Izbicioara                             ;Alba           ;AB;26;22028
Izbita                                 ;Alba           ;AB;23;22029
Izlaz                                  ;Alba           ;AB;43;27029
Izvoarele (Blaj)                       ;Alba           ;AB;45;22030
Izvoarele (Garda de Sus)               ;Alba           ;AB;31;22031
Izvoarele (Livezile)                   ;Alba           ;AB;50;22032
Izvoru Ampoiului                       ;Alba           ;AB;50;22033
Jeflesti                               ;Alba           ;AB;25;27650
Jidostina                              ;Alba           ;AB;44;27651
Jidvei                                 ;Alba           ;AB;25;26461
Jojei                                  ;Alba           ;AB;23;22034
Joldisesti                             ;Alba           ;AB;0;27652
Jurcuiesti                             ;Alba           ;AB;32;27653
Lancram                                ;Alba           ;AB;0;18508
Laz (Sasciori)                         ;Alba           ;AB;20;22222
Laz (Vintu de Jos)                     ;Alba           ;AB;20;26434
Lazesti (Scarisoara)                   ;Alba           ;AB;0;22035
Lazesti (Vadu Motilor)                 ;Alba           ;AB;0;22036
Lazuri (Lupsa)                         ;Alba           ;AB;0;22037
Lazuri (Sohodol)                       ;Alba           ;AB;0;22038
Lehesti                                ;Alba           ;AB;0;22039
Leorint                                ;Alba           ;AB;50;10088
Lespezea                               ;Alba           ;AB;33;22040
Limba (Ciugud)                         ;Alba           ;AB;0;10089
Lipaia                                 ;Alba           ;AB;0;22041
Livezile                               ;Alba           ;AB;50;10090
Lodroman                               ;Alba           ;AB;68;22223
Loman                                  ;Alba           ;AB;30;18510
Lopadea Noua                           ;Alba           ;AB;40;22042
Lopadea Veche                          ;Alba           ;AB;40;22043
Luminesti                              ;Alba           ;AB;0;22044
Lunca (Lupsa)                          ;Alba           ;AB;0;22045
Lunca (Posaga)                         ;Alba           ;AB;70;22191
Lunca (Valea Lunga)                    ;Alba           ;AB;55;22046
Lunca (Vidra)                          ;Alba           ;AB;0;22047
Lunca Ampoitei                         ;Alba           ;AB;0;22048
Lunca Bisericii                        ;Alba           ;AB;0;22049
Lunca de Jos                           ;Alba           ;AB;0;22050
Lunca Goiesti                          ;Alba           ;AB;0;22051
Lunca Larga (Bistra)                   ;Alba           ;AB;0;22052
Lunca Larga (Ocolis)                   ;Alba           ;AB;50;22192
Lunca Merilor                          ;Alba           ;AB;0;22053
Lunca Metesului                        ;Alba           ;AB;0;22054
Lunca Muresului                        ;Alba           ;AB;20;22193
Lunca Tarnavei                         ;Alba           ;AB;55;10094
Lunca Vesesti                          ;Alba           ;AB;0;22055
Lupaiesti                              ;Alba           ;AB;0;22056
Lupsa                                  ;Alba           ;AB;0;10095
Lupseni                                ;Alba           ;AB;34;27654
Lupu                                   ;Alba           ;AB;55;10096
Lupulesti                              ;Alba           ;AB;29;22057
Macaresti                              ;Alba           ;AB;60;22058
Maghierat                              ;Alba           ;AB;27;27655
Magina                                 ;Alba           ;AB;40;10097
Magura (Bucium)                        ;Alba           ;AB;23;22059
Magura (Galda de Jos)                  ;Alba           ;AB;25;22060
Mahaceni                               ;Alba           ;AB;30;22194
Mamaligani                             ;Alba           ;AB;41;22061
Manarade                               ;Alba           ;AB;55;10098
Manastire                              ;Alba           ;AB;80;22062
Mancesti                               ;Alba           ;AB;28;27656
Margaia                                ;Alba           ;AB;21;27657
Margineni                              ;Alba           ;AB;27;27658
Marinesti                              ;Alba           ;AB;45;27659
Martesti                               ;Alba           ;AB;20;22063
Martinie                               ;Alba           ;AB;40;18512
Matacina                               ;Alba           ;AB;18;27660
Matei                                  ;Alba           ;AB;21;27661
Matisesti (Ciuruleasa)                 ;Alba           ;AB;29;22064
Matisesti (Horea)                      ;Alba           ;AB;33;22065
Medresti                               ;Alba           ;AB;71;27662
Medves                                 ;Alba           ;AB;35;22195
Mereteu                                ;Alba           ;AB;18;18513
Mescreac                               ;Alba           ;AB;40;10099
Mesentea                               ;Alba           ;AB;0;10100
Metes                                  ;Alba           ;AB;0;10101
Micesti                                ;Alba           ;AB;0;10102
Micoslaca                              ;Alba           ;AB;45;22196
Mihaiesti                              ;Alba           ;AB;0;22066
Mihalt                                 ;Alba           ;AB;0;10103
Mihoesti                               ;Alba           ;AB;0;22067
Miraslau                               ;Alba           ;AB;40;10105
Modolesti (Intregalde)                 ;Alba           ;AB;55;22068
Modolesti (Vidra)                      ;Alba           ;AB;24;22069
Mogos                                  ;Alba           ;AB;40;10106
Moraresti (Ciuruleasa)                 ;Alba           ;AB;0;22070
Moraresti (Sohodol)                    ;Alba           ;AB;0;22071
Morcanesti                             ;Alba           ;AB;0;22072
Motorasti                              ;Alba           ;AB;0;22073
Mugesti                                ;Alba           ;AB;25;27663
Muncelu                                ;Alba           ;AB;22;27183
Munesti                                ;Alba           ;AB;0;22074
Muntari                                ;Alba           ;AB;28;22075
Mununa                                 ;Alba           ;AB;39;22076
Musca                                  ;Alba           ;AB;0;10107
Nadastia                               ;Alba           ;AB;60;22077
Namas                                  ;Alba           ;AB;0;22078
Napaiesti                              ;Alba           ;AB;0;22079
Necrilesti                             ;Alba           ;AB;90;10109
Necsesti                               ;Alba           ;AB;0;22080
Negesti                                ;Alba           ;AB;43;22081
Negresti                               ;Alba           ;AB;43;22082
Nelegesti                              ;Alba           ;AB;0;22083
Nemesi                                 ;Alba           ;AB;0;22084
Nicoresti                              ;Alba           ;AB;0;22085
Niculesti                              ;Alba           ;AB;27;22086
Noslac                                 ;Alba           ;AB;40;22197
Novacesti                              ;Alba           ;AB;0;22087
Oarda                                  ;Alba           ;AB;0;10111
Obreja                                 ;Alba           ;AB;30;10112
Ocna Mures                             ;Alba           ;AB;30;22198
Ocnisoara                              ;Alba           ;AB;49;27664
Ocoale                                 ;Alba           ;AB;48;22088
Ocolis                                 ;Alba           ;AB;45;22199
Odverem                                ;Alba           ;AB;50;10113
Ohaba                                  ;Alba           ;AB;40;18514
Oidesti                                ;Alba           ;AB;0;27665
Oiejdea                                ;Alba           ;AB;0;10114
Olteni                                 ;Alba           ;AB;60;22089
Oncesti                                ;Alba           ;AB;85;22090
Orasti                                 ;Alba           ;AB;64;27666
Orgesti                                ;Alba           ;AB;28;26397
Ormenis                                ;Alba           ;AB;45;22091
Paclisa                                ;Alba           ;AB;0;10115
Padure                                 ;Alba           ;AB;42;27667
Padurea                                ;Alba           ;AB;15;27668
Pagida                                 ;Alba           ;AB;40;10116
Panade                                 ;Alba           ;AB;60;10117
Panca                                  ;Alba           ;AB;40;27669
Pantesti                               ;Alba           ;AB;41;22092
Parau Gruiului                         ;Alba           ;AB;40;22093
Parau lui Mihai                        ;Alba           ;AB;15;22224
Parau-Carbunari                        ;Alba           ;AB;0;27670
Pastesti                               ;Alba           ;AB;25;22094
Patrahaitesti                          ;Alba           ;AB;47;10118
Patrangeni                             ;Alba           ;AB;40;22095
Patrusesti                             ;Alba           ;AB;32;10120
Patrutesti                             ;Alba           ;AB;32;27671
Peles                                  ;Alba           ;AB;0;22096
Perjesti                               ;Alba           ;AB;0;22097
Peste Valea Bistrii                    ;Alba           ;AB;0;22098
Petelca                                ;Alba           ;AB;30;22099
Petelei                                ;Alba           ;AB;26;22100
Petreasa                               ;Alba           ;AB;35;27672
Petreni                                ;Alba           ;AB;27;27673
Petresti                               ;Alba           ;AB;0;18515
Petrisat                               ;Alba           ;AB;0;10123
Pianu                                  ;Alba           ;AB;25;22225
Pianu de Jos                           ;Alba           ;AB;25;18516
Pianu de Sus                           ;Alba           ;AB;23;18517
Pirita                                 ;Alba           ;AB;40;22101
Pitarcesti                             ;Alba           ;AB;0;22102
Pitiga                                 ;Alba           ;AB;0;22103
Plai (Avram Iancu)                     ;Alba           ;AB;44;22104
Plai (Garda de Sus)                    ;Alba           ;AB;47;22105
Plaiuri                                ;Alba           ;AB;18;27674
Plescuta                               ;Alba           ;AB;0;22106
Plesesti                               ;Alba           ;AB;22;22107
Plesi                                  ;Alba           ;AB;21;27675
Plisti                                 ;Alba           ;AB;38;22108
Podu lui Paul                          ;Alba           ;AB;40;22109
Poduri                                 ;Alba           ;AB;0;27676
Poduri-Bricesti                        ;Alba           ;AB;0;22110
Poiana (Bistra)                        ;Alba           ;AB;0;22111
Poiana (Bucium)                        ;Alba           ;AB;28;22112
Poiana (Sohodol)                       ;Alba           ;AB;54;22113
Poiana Aiudului                        ;Alba           ;AB;45;10124
Poiana Ampoiului                       ;Alba           ;AB;0;10125
Poiana Galdei                          ;Alba           ;AB;30;10126
Poiana Ursului                         ;Alba           ;AB;21;27677
Poiana Vadului                         ;Alba           ;AB;20;10127
Poieni (Blandiana)                     ;Alba           ;AB;20;22226
Poieni (Bucium)                        ;Alba           ;AB;30;26398
Poieni (Vidra)                         ;Alba           ;AB;0;22114
Poienile-Mogos                         ;Alba           ;AB;38;22115
Poienita (Arieseni)                    ;Alba           ;AB;47;22116
Poienita (Vintu de Jos)                ;Alba           ;AB;19;22227
Poiu                                   ;Alba           ;AB;0;22117
Ponor                                  ;Alba           ;AB;60;10128
Ponorel                                ;Alba           ;AB;0;10129
Popesti                                ;Alba           ;AB;120;22118
Popestii de Jos                        ;Alba           ;AB;35;10130
Popestii de Sus                        ;Alba           ;AB;0;22119
Posaga                                 ;Alba           ;AB;55;22200
Posaga de Jos                          ;Alba           ;AB;55;22201
Posaga de Sus                          ;Alba           ;AB;55;22202
Posogani                               ;Alba           ;AB;0;27678
Potionci                               ;Alba           ;AB;24;22120
Preluca                                ;Alba           ;AB;29;22121
Presaca Ampoiului                      ;Alba           ;AB;0;22122
Puiuletesti                            ;Alba           ;AB;0;27679
Purcareti                              ;Alba           ;AB;45;26889
Puselesti                              ;Alba           ;AB;24;22123
Racatau                                ;Alba           ;AB;30;27680
Rachis                                 ;Alba           ;AB;47;27681
Rachita                                ;Alba           ;AB;15;26893
Radesti                                ;Alba           ;AB;45;10132
Rahau                                  ;Alba           ;AB;0;18518
Raicani                                ;Alba           ;AB;36;27682
Ramet                                  ;Alba           ;AB;60;10133
Ratitis                                ;Alba           ;AB;0;22124
Ravicesti                              ;Alba           ;AB;41;27683
Razboieni-Cetate                       ;Alba           ;AB;40;22203
Reciu                                  ;Alba           ;AB;0;18519
Remetea                                ;Alba           ;AB;65;22125
Rimetea                                ;Alba           ;AB;65;10134
Robesti                                ;Alba           ;AB;0;27684
Rogoz                                  ;Alba           ;AB;0;10135
Rosesti                                ;Alba           ;AB;27;22126
Rosia de Secas                         ;Alba           ;AB;45;18520
Rosia Montana                          ;Alba           ;AB;0;10136
Runc (Ocolis)                          ;Alba           ;AB;50;27685
Runc (Scarisoara)                      ;Alba           ;AB;37;22127
Runc (Vidra)                           ;Alba           ;AB;0;22128
Runc (Zlatna)                          ;Alba           ;AB;40;22129
Runcuri                                ;Alba           ;AB;0;27686
Rusesti                                ;Alba           ;AB;24;10137
Rusi                                   ;Alba           ;AB;29;10138
Sagagea                                ;Alba           ;AB;60;26663
Salagesti                              ;Alba           ;AB;0;27687
Salciua                                ;Alba           ;AB;65;22204
Salciua de Jos                         ;Alba           ;AB;65;22205
Salciua de Sus                         ;Alba           ;AB;65;22206
Salistea                               ;Alba           ;AB;40;18521
Salistea-Deal                          ;Alba           ;AB;24;27688
Sanbenedic                             ;Alba           ;AB;50;22207
Sancel                                 ;Alba           ;AB;0;10139
Sancrai                                ;Alba           ;AB;45;10140
Sanmiclaus                             ;Alba           ;AB;45;26656
Santamarie                             ;Alba           ;AB;30;26665
Santimbru                              ;Alba           ;AB;0;10141
Saracsau;Alba           ;AB;18;18523
Sard                                   ;Alba           ;AB;0;10142
Sartas                                 ;Alba           ;AB;28;10143
Sasa                                   ;Alba           ;AB;0;27689
Sasciori                               ;Alba           ;AB;15;18524
Scarisoara                             ;Alba           ;AB;29;10144
Scoarta                                ;Alba           ;AB;39;22130
Sebes                                  ;Alba           ;AB;0;242
Sebesel                                ;Alba           ;AB;0;18525
Sebisesti                              ;Alba           ;AB;0;22131
Secasel;Alba           ;AB;40;18526
Segaj                                  ;Alba           ;AB;20;27690
